generator,capacity_mw,fuel_type,alt_fuel,heat_rate
EASTMAN BROOK U5,0.007,WAT,,
SUNNYBROOK HYDRO 2,0.009,WAT,,
GREAT WORKS COMPOSITE,0.012,WAT,,
HUNT'S POND,0.02,WAT,,
SANDY HOOK HYDRO,0.022,WAT,,
WEBSTER01570HYDRO250NM,0.04,WAT,,
BOW STREET HYDRO,0.045,WAT,,
MWRAFISHHATCHERY-01082PV65NM,0.047,WAT,,
WHITMAN01473HYDRO174NM,0.047,WAT,,
OLD NASH DAM,0.051,WAT,,
BATH ELECTRIC HYDRO,0.053,WAT,,
SWEETWATER HYDRO U5,0.055,WAT,,
WATSON DAM,0.069,WAT,,
ORANGE HYDRO 1,0.071,WAT,,
DUDLEY HYDRO,0.079,WAT,,
BALTIC MILLS - QF,0.08,WAT,,
ENERGY STREAM HYDRO ,0.08,WAT,,
MECHANICSVILLE,0.082,WAT,,
METHUEN HYDRO,0.084,WAT,,
PETERBOROUGH LOWER HYDRO,0.085,WAT,,
ROCKY GORGE CORPORATION,0.089,WAT,,
BLACKSTONE HYDRO ASSOC,0.101,WAT,,
GOODRICH FALLS,0.101,WAT,,
HACKETT MILLS HYDRO,0.101,WAT,,
EUSTIS HYDRO,0.105,WAT,,
LEDGEMERE,0.105,WAT,,
ORANGE HYDRO 2,0.105,WAT,,
AVERY DAM,0.107,WAT,,
PETERBOROUGH UPPER HYDRO,0.11,WAT,,
HOPKINTON HYDRO,0.112,WAT,,
MWRA_LORING_RD_ID1400,0.122,WAT,,
LAKEPORT DAM,0.14,WAT,,
WESTON DAM,0.144,WAT,,
LOWER VALLEY HYDRO U5,0.148,WAT,,
MECHANIC FALLS HYDRO,0.151,WAT,,
AMPERSAND BROOKLYN DAM HYDRO,0.16,WAT,,
ASHBIONHYDRO02864HYDRO480RE,0.18,WAT,,
SUNAPEE HYDRO,0.184,WAT,,
KEZAR LOWER FALLS,0.187,WAT,,
PUTNAM,0.187,WAT,,
LOWER VILLAGE,0.188,WAT,,
TOUTANT,0.188,WAT,,
INDIAN RIVER POWER SUPPLY LLC,0.192,WAT,,
DAMARISCOTTA HYDRO,0.193,WAT,,
GREENVILLE HYDRO,0.198,WAT,,
LOCHMERE DAM,0.198,WAT,,
MILO_HYDRO,0.213,WAT,,
STEELS POND HYDRO,0.221,WAT,,
LISBON HYDRO,0.229,WAT,,
ROLLINSFORD HYDRO,0.229,WAT,,
CEC 002 PAWTUCKET U5,0.236,WAT,,
WARE HYDRO,0.239,WAT,,
BLACKSTONE HYDRO LOAD REDUCER,0.252,WAT,,
YORK HYDRO,0.254,WAT,,
CHINA MILLS DAM,0.259,WAT,,
KENNEBAGO HYDRO,0.259,WAT,,
GRANBY SANITARY LANDFILL QF,0.273,MSW,,
COCHECO FALLS,0.274,WAT,,
MINIWAWA,0.28,WAT,,
NEWFOUND HYDRO,0.282,WAT,,
CRESCENT DAM,0.288,WAT,,
MORETOWN 8,0.295,WAT,,
COLLINS HYDRO,0.3,WAT,,
LOWER ROBERTSON DAM,0.303,WAT,,
PUMPKIN HILL,0.303,WAT,,
GREEN LAKE HYDRO,0.316,WAT,,
FRANKLIN FALLS,0.327,WAT,,
PITTSFIELD HYDRO,0.342,WAT,,
CENTENNIAL HYDRO,0.346,WAT,,
ASHUELOT HYDRO,0.351,WAT,,
BROWNS MILL HYDRO,0.353,WAT,,
RIVER BEND,0.353,WAT,,
PEPPERELL HYDRO COMPANY LLC,0.359,WAT,,
HOSIERY MILL DAM,0.367,WAT,,
GLENDALE HYDRO,0.368,WAT,,
BARKER UPPER HYDRO,0.411,WAT,,
QUINEBAUG,0.452,WAT,,
DWIGHT,0.47,WAT,,
WORONOCO HYDRO LLC,0.472,WAT,,
UNION GAS STATION,0.477,WAT,,
NEW MILFORD,0.481,OBG,,
AUTOMATIC HYDRO,0.482,WAT,,
BENTON FALLS HYDRO,0.498,WAT,,
CLEMENT DAM,0.519,WAT,,
BARKER LOWER HYDRO,0.531,WAT,,
SPENCER01562LFG995NM,0.542,OBG,,
HG&E HYDRO/CABOT 1-4,0.593,WAT,,
ORONO A,0.615,WAT,,
PEMBROKE,0.625,WAT,,
CHEMICAL,0.648,WAT,,
WEST SPRINGFIELD HYDRO U5,0.668,WAT,,
RICE RIPS,0.749,WAT,,
MILTON MILLS HYDRO,0.75,WAT,,
GREGGS,0.769,WAT,,
BOLTON FALLS,0.782,WAT,,
WYRE WYND HYDRO,0.782,WAT,,
STILLWATER,0.797,WAT,,
CANAAN,0.807,WAT,,
GARDINER HYDRO,0.807,WAT,,
NORTH HARTLAND HYDRO,0.825,WAT,,
NORTH GORHAM,0.864,WAT,,
MINE FALLS,0.915,WAT,,
PUTTS BRIDGE,0.921,WAT,,
STILLWATER B HYDRO,1.006,WAT,,
HOOKSETT,1.117,WAT,,
LOCKWOOD,1.159,WAT,,
GORHAM,1.173,WAT,,
PENNACOOK FALLS UPPER,1.183,WAT,,
HARRIS 4,1.249,WAT,,
HUNTINGTON FALLS-NEW,1.288,WAT,,
OAKLAND,1.335,WAT,,
TURNKEY LANDFILL,1.384,LFG,,
SIMPSON G LOAD REDUCER,1.456,WAT,,
MMWAC,1.469,MSW,,
SOUTHBRIDGE LANDFILL,1.472,LFG,,
RIVERSIDE 4-7,1.474,WAT,,
OAKDALE HYDRO,1.475,WAT,,
ERROL,1.566,WAT,,
GRTR NEW BEDFORD LFG UTIL PROJ,1.568,LFG,,
EXETER AGRI ENERGY,1.579,OBG,,
FIEC DIESEL,1.596,DFO,,
FOUR HILLS LANDFILL,1.621,LFG,,
PRESUMPSCOT HYDRO LLC - GAMBO,1.654,WAT,,
BRIAR HYDRO,1.697,WAT,,
PENNACOOK FALLS LOWER,1.724,WAT,,
UDR GLASTONBURY,1.79,NG,,7.503508772
GARVINS,1.989,WAT,,
WATERBURY 22,1.99,WAT,,
UNH POWER PLANT,2,LFG,,
EASTMAN FALLS,2.009,WAT,,
ORONO B,2.061,WAT,,
UI RCP WOODBRIDGE FC,2.071,NG,,7.828029376
WINOOSKI 1,2.114,WAT,,
GARDNER FALLS,2.118,WAT,,
UI RCP BGPT FC,2.206,NG,,9.059335874
BOATLOCK,2.294,WAT,,
UI RCP NH FC,2.455,NG,,10.91902072
FALLS VILLAGE,2.502,WAT,,
MEDWAY,2.512,WAT,,
FAIRFAX,2.567,WAT,,
JACKMAN,2.582,WAT,,
ROCHESTER LANDFILL,2.642,LFG,,
CHERRY 7,2.7,DFO,,
RIVERSIDE 8,2.737,WAT,,
GOODWIN DAM,2.8,WAT,,
CROSSROADS LANDFILL,2.806,LFG,,
AYERS ISLAND,3.083,WAT,,
SHAWMUT,3.254,WAT,,
PROCTOR,3.301,WAT,,
MARSHFIELD 6 HYDRO,3.349,WAT,,
CHERRY 8,3.4,NG,,10.55555556
MILFORD HYDRO,3.429,WAT,,
BULLS BRIDGE,3.667,WAT,,
MATEP (DIESEL),3.901,DFO,,
FITCHBURG LANDFILL,3.906,LFG,,
DODGE FALLS-NEW,3.912,WAT,,
RAINBOW 1 HYDRO,4.1,WAT,,
RAINBOW 2 HYDRO,4.1,WAT,,
BRASSUA HYDRO,4.203,WAT,,
ESSEX 19 HYDRO,4.253,WAT,,
MOORE 5,4.47,WAT,,
SEARSBURG,4.533,WAT,,
HYDRO KENNEBEC,4.616,WAT,,
CHERRY 12,4.999,DFO,NG,10.55555556
MARBLEHEAD DIESELS,5,DFO,,
DEXTER 2,5.147,NG,,
DERBY DAM,5.277,WAT,,
MONTVILLE 10 AND 11,5.354,KER,,12.38177677
SHELDON SPRINGS,5.584,WAT,,
SHERMAN,6.22,WAT,,
BONNY EAGLE/W. BUXTON,6.253,WAT,,
TURNERSFALLS,6.4,WAT,,
AMOSKEAG,6.51,WAT,,
PEJEPSCOT,6.636,WAT,,
AZISCOHOS HYDRO,6.645,WAT,,
GEORGES RIVER ENERGY,6.756,WDS,,
WEST ENFIELD,6.774,WAT,,
BRUNSWICK,6.896,WAT,,
ATHENS ENERGY LLC_1,7.1,WDS,,
WESTON,7.191,WAT,,
BRIDGEPORT FUEL CELL,7.209,NG,,9.964852762
LAWRENCE HYDRO,7.301,WAT,,
ESSEX DIESELS,7.305,DFO,,9.8
PONTOOK HYDRO,7.568,WAT,,
FRONT STREET DIESELS 1-3,7.705,DFO,,10.69633508
CATARACT EAST,8,WAT,,
BOOT MILLS,8.175,WAT,,
WORUMBO HYDRO,8.502,WAT,,
ELLSWORTH HYDRO,8.831,WAT,,
RJOL HYDRO,10.221,WAT,,
MCINDOES,10.577,WAT,,
DERBY PARK FUEL CELL PLANT,10.661,NG,,
SMITH,10.803,WAT,,
ECO MAINE,10.892,MSW,,
HIRAM,11.24,WAT,,
SES CONCORD,11.958,MSW,,
GORGE 1 DIESEL,12.116,DFO,,55.71962617
LISBON RESOURCE RECOVERY,12.403,MSW,,
